,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,account_age_days,account_type
23,0,0,71,4476,568,1,52,0,3338,1
50,1,0,547,13,0,0,751,0,3204,1
55,0,0,1139,2,42,1,1746,0,2906,1
69,0,0,1210,13,37,1,1513,0,2830,1
97,1,0,2760,54,302,1,3397,0,3496,1
99,1,0,2037,6,32,0,2924,0,1359,1
100,0,0,2534,217,310,1,5199,0,3105,1
119,1,0,1332,11,31,0,1332,0,1446,1
142,1,0,1425,18,0,0,2212,0,1848,1
145,1,0,406,4,28,1,608,0,3665,1
155,1,0,29,0,0,0,216,0,1159,1
169,0,0,4146,64,146,0,4174,0,3813,1
187,1,0,2234,34,0,0,3365,0,3384,1
196,0,0,0,3388,41,0,1974455,0,2493,1
209,0,0,2367,17,61,0,3158,0,3609,1
210,1,0,62,49,306,0,105,0,908,1
216,0,0,2205,49,22,1,3155,0,3767,1
238,1,0,1242,0,0,0,1241,0,1622,1
250,0,0,1607,7,45,0,2373,0,3073,1
276,1,0,0,295,0,0,1567,0,1621,1
293,1,0,277,18,236,0,44,0,953,1
345,0,0,6,833,25,0,3752,0,1899,1
369,1,0,1060,4,0,0,1492,0,3024,1
382,1,0,226,10,224,0,63,0,2185,1
388,1,0,2457,30,0,1,3416,0,2570,1
404,1,0,184,6,0,0,30,0,3043,1
405,0,1,1164,31,649,0,460,0,4193,1
424,1,1,49,3,97,0,8,0,1046,1
426,1,0,0,1305,1868,0,5145,0,4095,1
428,0,0,4,20,0,0,1832,0,934,1
437,0,0,2308,46,81,0,3161,0,3276,1
468,0,0,4729,236,0,0,11025,0,3080,1
480,1,0,1394,4,15,0,2013,0,2267,1
482,1,0,38,0,0,0,207,0,1155,1
512,0,0,17677,5952,2466,1,1865,0,3727,1
515,0,0,2033,11,139,1,3292,0,3172,1
517,0,0,4727,69132,8250,0,127354,0,2742,1
536,1,0,2476,12,0,0,3506,0,4215,1
557,1,0,1332,5,35,0,1332,0,1462,1
578,1,0,20,0,0,0,162,0,1156,1
582,1,0,2162,100,253,0,6134,0,3207,1
595,1,0,164,4,0,0,36,0,3721,1
601,1,0,3494,145,340,0,3910,0,1750,1
658,1,0,994,4,38,0,1537,0,1807,1
666,1,0,1024,12,6,0,1414,0,3834,1
704,1,0,381,18,0,0,336,0,2716,1
