,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,account_age_days,account_type
25,1,0,21,31,4,0,3547,0,1620,1
28,1,0,87,1,0,0,413,0,1159,1
57,1,0,19868,83404,91815,0,56015,0,3370,1
91,1,0,1110,888158,729,0,64042,0,3151,1
101,1,0,1296,20,922,0,1907,0,3802,1
120,0,0,2202,10,8,0,2992,0,3401,1
130,1,0,219,4,44,0,258,0,1148,1
144,0,0,56,3,0,0,112,0,3534,1
160,1,0,59,1,0,0,279,0,1159,1
169,0,0,4146,64,146,0,4174,0,3813,1
180,0,0,3497,8451,660,1,3547,0,2953,1
189,1,0,226,5,0,0,48,0,2742,1
214,1,0,2259,184,129,0,4868,0,2022,1
252,0,0,48681,1501,488,0,223637,0,4925,1
293,1,0,277,18,236,0,44,0,953,1
309,1,0,669,17,26,0,1043,0,2975,1
311,0,0,16285,1124,4709,0,20988,0,2070,1
312,0,0,619,4,0,1,861,0,2784,1
323,0,0,2261,7,0,0,3182,0,3024,1
325,0,0,27265,1463302,1473166,1,31354,1,4439,1
335,1,0,54087,339,376,1,17034,0,2385,1
356,1,0,70,6,0,0,16,0,3047,1
357,0,0,13296,22238,1119,1,109657,1,4134,1
376,1,0,11,0,0,0,99,0,1155,1
402,1,1,78,3,0,0,122,0,3408,1
404,1,0,184,6,0,0,30,0,3043,1
411,0,0,10,775,0,0,20375,0,1425,1
429,0,0,1209,33,44,0,1943,0,2735,1
430,1,0,16,1,0,0,122,0,1232,1
481,1,0,32,0,58,0,452,0,1273,1
491,1,0,0,189,1,0,7819,0,1100,1
492,1,0,1,172,46,0,11578,0,1556,1
507,1,0,1112,78,177,0,9336,0,1196,1
514,0,0,4834,187,0,1,15089,0,3027,1
518,1,0,3,4890,5181,0,8833,0,2088,1
521,0,0,14969,644,951,0,15328,0,1111,1
544,0,0,1121,52,81,0,1591,0,4144,1
547,1,0,71,20,87,0,71,0,1053,1
550,0,0,1520,31,57,1,384,0,3275,1
589,0,0,95,35,0,1,475,0,2901,1
631,0,0,65,5,0,0,102,0,3530,1
633,0,0,9913,289,0,0,7943,0,3094,1
651,0,0,2356,29,0,0,3341,0,2829,1
695,1,1,0,14,0,0,544,0,2306,1
697,1,0,1059,83,0,1,1511,0,3581,1
733,0,0,2421,225,0,1,20225,0,4005,1
750,1,0,2543,16,30,1,3298,0,3842,1
776,0,0,5172,248,106,1,7731,0,3106,1
820,1,0,540,16,0,0,94,0,3630,1
826,1,0,121,6,0,0,24,0,1320,1
841,1,0,2502,14,152,1,3055,0,3025,1
870,0,0,1,55,2,0,1007,0,1019,1
873,1,0,5,207,219,0,1990,0,1298,1
875,0,0,37885,1519,1281,0,259864,0,3833,1
879,0,0,2246,170720,17140,0,47041,0,4396,1
902,1,0,3541,25,37,0,3884,0,1751,1
912,0,0,2070,99,61,0,2964,0,4040,1
920,1,0,901,63,0,0,135,0,2945,1
957,1,0,1743,13,38,0,3102,0,1751,1
961,1,0,47,1,0,0,298,0,1159,1
967,0,0,189324,622,373,1,61201,0,2494,1
969,0,0,77,999,1751,0,3133,0,2602,1
995,0,0,6,93,0,0,11445,0,1936,1
1006,1,0,2260,17,13,0,3011,0,3200,1
1049,0,0,1237,7,0,0,1719,0,3919,1
1067,1,0,470,17,57,0,627,0,2337,1
1075,0,0,7679,174767,405,1,16657,1,4127,1
1127,0,0,2274,29,65,1,4032,0,4014,1
1131,1,0,2111,35,37,0,2861,0,3516,1
1192,1,0,173,9,0,0,215,0,3165,1
1217,0,0,1942,506,364,0,1558,0,1946,1
1236,1,0,50,0,0,0,250,0,1154,1
1247,1,0,50497,2502,1526,1,63947,0,2575,1
1274,0,0,2389,16,25,0,875,0,3591,1
1289,1,0,1166,10,1,0,1685,0,4136,1
1339,0,0,4,880,29,0,146509,0,3313,1
1384,1,0,2484,19,0,0,3418,0,3357,1
1398,0,0,20,94775,1,0,31299,0,2837,1
1413,1,0,659,7,12,0,987,0,3101,1
1415,0,0,3225,278,813,1,6578,0,3253,1
1450,1,0,17,2,0,0,146,0,1232,1
1456,0,0,2362,495,1509,1,3641,0,3280,1
1485,0,0,28,138,7,0,9043,0,1114,1
1490,1,0,1458,61,835,0,394,0,3298,1
1493,1,0,2023,46,0,0,2938,0,3781,1
1503,1,0,15,53,16,0,12,0,1310,1
1521,1,0,1231,9,0,0,1231,0,1463,1
1583,1,0,1,19517,217,0,244935,0,2784,1
1590,0,0,533,1600873,140,1,136794,1,3823,1
1599,1,0,155,21,0,0,830,0,2391,1
1609,1,0,99,27,0,0,97,0,2786,1
1635,1,0,105,5,96,0,515,0,1377,1
1649,0,0,53306,1013,3299,0,93236,0,2132,1
1712,0,0,3372,190,0,0,8041,0,3838,1
1751,1,0,1019,10,0,0,1551,0,3258,1
1781,1,0,153,2,15,0,215,0,1227,1
1784,1,0,346,2,20,0,346,0,1410,1
1820,1,0,1119,19,98,1,1692,0,3387,1
1823,1,0,25,0,17,0,222,0,1219,1
1824,1,0,1266,4,38,0,1764,0,2153,1
1828,1,0,1,7,1,0,1451,0,729,1
1856,1,0,1454,4,56,0,2118,0,2903,1
1872,1,0,3491,17,43,0,3684,0,1750,1
1885,1,0,1108,26,119,1,1824,0,3302,1
1888,1,0,786,14,139,0,1031,0,3007,1
1891,1,0,128,6,108,1,22,0,3482,1
1895,1,0,4572,53,54,1,481,0,2555,1
1911,1,0,1229,0,1,0,1902,0,2809,1
1935,1,0,26,30,13,0,135,0,1272,1
1942,1,0,1,20,1,0,5203,0,898,1
1958,0,0,2524,666,2159,1,7704,0,4162,1
1962,1,0,24,6678,298,0,17955,0,3374,1
1967,1,0,2007,42,216,1,2837,0,2918,1
1981,1,0,515,33,427,0,95,0,1525,1
1992,1,0,135,2,0,0,5,0,3032,1
2043,0,0,573,3563,831,1,147322,0,3462,1
2045,0,0,288,60,133,0,332,0,2870,1
2063,1,0,1332,14,10,0,1332,0,1463,1
2087,0,0,163,19,113,0,245,0,3092,1
2112,0,0,25,1034,0,0,120,0,3046,1
2118,0,0,15507,41077,4592,1,70627,1,3668,1
2146,0,0,112865,1725,827,0,114547,0,2066,1
2153,1,0,380,28,0,0,68,0,2462,1
2163,0,0,2210,84,108,0,3129,0,3891,1
2206,1,0,987,5,19,1,428,0,3032,1
2213,1,0,1251,1,25,1,1800,0,3229,1
2222,1,0,2191,6,29,0,2395,0,3209,1
2232,0,0,0,42,1,0,19074,0,1025,1
2244,1,0,2326,50,0,0,3405,0,3124,1
2247,0,0,654,788,2249,0,3655,0,3059,1
2249,1,0,33,25,0,0,176,0,1270,1
2281,1,0,90742,1278,1895,1,111161,0,2319,1
2322,0,0,4366,37,28,1,4488,0,3067,1
2374,0,0,767,37,36,0,1110,0,3264,1
2375,0,0,2862,27,300,1,2051,0,3817,1
2421,0,0,738,36684,185,1,141155,0,3328,1
2425,0,0,2132,25,0,0,3537,0,3293,1
2470,1,0,2327,31,81,0,2744,0,3842,1
2478,1,0,1937,18,0,0,2642,0,3398,1
2495,1,0,28,1,0,0,191,0,1155,1
2507,1,0,285,17,443,0,45,0,3687,1
2588,0,0,2068,7,6,0,2971,0,3940,1
2593,0,0,886,7,0,0,899,0,2115,1
2600,1,0,1332,7,10,0,1332,0,1462,1
2682,1,0,1869,12,22,0,2501,0,1402,1
2686,1,0,2038,28,0,0,2859,0,3631,1
2700,0,0,2575,78,1839,0,3125,0,2070,1
2712,1,0,512,19,0,0,750,0,1809,1
2762,0,0,1767,18,0,1,2231,0,1980,1
2794,1,0,48,1,0,0,252,0,1155,1
2805,1,0,3,44260,5571,0,2305987,0,2134,1
2823,0,0,2391,157,435,1,6158,0,3971,1
2836,1,0,2055,9,0,0,2941,0,3994,1
2838,1,0,152,5,100,0,24,0,2337,1
2851,0,0,0,374,56,1,16333,0,3747,1
2854,0,0,3013,55,92,1,15547,0,3946,1
2902,1,0,2359,22,76,0,3205,0,2833,1
2914,1,0,171,5,0,0,33,0,2995,1
2937,1,0,1740,110,126,0,3531,0,1751,1
2957,1,0,323,15,0,0,2393,0,2538,1
2963,0,0,2409,27,60,0,3642,0,2836,1
2998,0,0,2265,422,450,0,8663,0,3248,1
3002,1,0,666,6,15,0,996,0,4028,1
3018,1,0,2153,22,122,0,3059,0,3484,1
3053,1,0,247,14,46,0,316,0,2581,1
3063,1,0,1289,629902,885,0,1436,0,4229,1
3119,1,0,18722,154,188,1,5450,0,1300,1
3121,1,0,2020,5,9,0,3006,0,2516,1
3136,1,0,3993,20299,19636,0,96981,0,1261,1
3140,1,0,1977,78,161,1,2750,0,2813,1
3160,0,0,2241,34,57,0,3156,0,2981,1
3230,1,0,8647,194,222,0,6373,0,1744,1
3257,0,0,1104,10,0,0,1571,0,4107,1
3272,1,0,1487,1,25,0,2131,0,2030,1
3287,1,0,0,203,0,0,12905,0,1652,1
3291,1,0,286,4,0,0,57,0,1560,1
3293,0,0,2395,97,0,0,4989,0,3008,1
3300,0,0,2622,17,0,0,2765,0,1873,1
3306,1,0,1785,30,38,0,2171,0,2721,1
3322,1,0,1,59,34,0,6880,0,1728,1
3326,1,0,49,1,0,0,331,0,1159,1
3358,1,0,1145,702,708,0,43619,0,2651,1
3422,0,0,3249,66,606,0,888,0,4094,1
3425,1,0,434,45,18,0,66,0,2672,1
3439,0,0,275,11,0,0,51,0,4121,1
3466,1,0,21,46,399,0,57,0,2411,1
3477,1,0,42,733,0,0,83378,0,2937,1
3479,0,0,945,18,107,1,1336,0,3893,1
3484,1,0,1572,5,8,0,2303,0,3236,1
3513,1,0,2170,11,50,1,3117,0,4015,1
3550,1,0,88,1,0,0,213,0,1156,1
3551,0,0,9735,2141303,1,0,297027,0,2082,1
3570,1,1,65,4,0,0,93,0,4036,1
3571,0,0,1171,0,5,0,1762,0,1789,1
3587,1,0,2512,41,0,0,3486,0,3194,1
3589,1,0,0,193,0,1,85888,0,4134,1
3618,1,0,1833,146,64,0,5371,0,2040,1
3625,1,0,2151,19,122,1,2983,0,3512,1
3632,1,0,321,29,0,0,73,0,3818,1
3641,0,0,0,2983,293,0,168938,0,1271,1
3647,0,0,0,886,935,0,145876,0,3867,1
3650,0,0,736,7,0,0,1115,0,3962,1
3665,1,0,227,5,0,0,45,0,2773,1
3667,0,0,16754,619555,372,1,212628,0,3867,1
3691,1,0,685,44,637,0,111,0,2699,1
3708,1,0,1796,4,0,0,2530,0,2732,1
3718,0,0,107428,638,142,1,25908,0,2246,1
3733,0,0,1009,2,8,0,1495,0,2773,1
3758,0,0,81834,77283,46308,1,59193,0,2655,1
3835,0,0,0,1625,0,0,581,0,788,1
3847,0,0,2398,154,0,0,4406,0,3239,1
3879,1,0,107,3,0,0,32,0,2963,1
3925,1,0,226,5,0,0,53,0,3439,1
3947,0,0,717,873,1866,1,457291,0,4134,1
3962,1,0,544,18,53,0,3544,0,1789,1
3972,1,0,477,0,5,0,73,0,2141,1
3997,1,0,850,11,41,0,1169,0,4149,1
4085,0,0,10832,959,864,0,124900,0,3661,1
4087,1,0,1991,11,0,0,2768,0,2808,1
4154,1,0,16,7,0,0,8,0,2452,1
4202,1,0,1498,7,0,0,2248,0,3022,1
4204,0,1,0,4,2,0,28773,0,1203,1
4214,0,0,142,614,1071,0,860,0,1118,1
4263,1,0,688,18,120,0,842,0,3774,1
4276,0,0,29,982,2280,0,25891,0,1348,1
4277,0,0,2486,227,474,1,23133,0,3431,1
4288,0,0,1337,30269,24822,0,23518,0,2661,1
4327,1,0,346,0,20,0,346,0,1412,1
4336,1,0,430,14,0,0,79,0,3263,1
4355,1,0,1221,32,0,0,1728,0,2961,1
4371,1,0,48,162,582,0,54,0,2245,1
4419,0,0,2416,34,0,0,3201,0,4074,1
4422,1,0,2414,19,8,0,3388,0,3476,1
4439,0,0,411,837,848,0,848,0,2424,1
4474,1,0,53,2,0,0,273,0,1159,1
4493,1,0,1218,2,1,0,1885,0,2294,1
4497,0,0,5638,215,232,0,21510,0,3156,1
4502,0,0,2205,15,13,0,3031,0,3932,1
4508,0,0,0,1046,543,0,78666,0,2941,1
4537,1,0,57,682,466,1,3914,0,2952,1
4572,1,0,1332,7,12,0,1332,0,1462,1
