,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,account_age_days,account_type
6,0,0,2361,64,156,1,2780,0,3248,1
8,1,0,1332,12,11,0,1332,0,1462,1
48,1,0,20,79,31,0,8054,0,4107,1
51,1,0,129,8,0,0,31,0,3672,1
139,1,0,2078,36,46,0,2346,0,4189,1
161,1,0,10079,559,802,1,26618,0,2485,1
169,0,0,4146,64,146,0,4174,0,3813,1
173,1,0,2458,88,0,0,3449,0,3343,1
186,0,0,2399,6,12,0,3305,0,3245,1
199,1,0,1074,1,28,0,1590,0,1743,1
208,0,0,88,2,0,0,128,0,3196,1
298,0,0,10548,184933,3759,0,21362,1,4083,1
306,0,0,2685,167,108,1,3541,0,4140,1
312,0,0,619,4,0,1,861,0,2784,1
315,1,0,999,80,693,0,1478,0,2815,1
355,0,0,330,235,0,1,199,0,2313,1
417,1,0,289,26,206,0,4744,0,3080,1
422,1,0,2238,40,9,0,3107,0,957,1
430,1,0,16,1,0,0,122,0,1232,1
439,0,0,2037,48,0,0,2791,0,3042,1
442,0,0,19172,194,0,1,10345,0,2610,1
473,1,0,1390,16,22,0,2033,0,3822,1
568,0,0,2449,12,0,0,3377,0,3087,1
584,1,0,846,11,440,0,1231,0,3652,1
658,1,0,994,4,38,0,1537,0,1807,1
668,1,0,971,11,0,0,1364,0,1754,1
680,0,0,6069,1340,2439,0,3685,0,4392,1
682,1,0,0,10,0,0,309,0,758,1
685,0,1,203,19,243,1,89,0,2381,1
688,0,0,41,113,0,0,783,0,3400,1
716,0,0,1665,215894,110,1,145666,1,4094,1
739,1,0,1331,13,33,0,1333,0,1446,1
798,0,0,2338,129,485,0,3301,0,3639,1
824,1,0,5950,675,1143,0,10924,0,2184,1
832,1,0,346,0,20,0,346,0,1412,1
850,1,0,1058,19,37,0,1429,0,3880,1
853,0,0,3415,89,172,1,5750,0,3452,1
860,1,0,22,9,298,0,8,0,4013,1
871,1,0,0,29,8,0,5316,0,1146,1
874,1,0,824,0,0,1,1203,0,2869,1
889,1,0,471,1375,2130,0,1001,0,1071,1
959,1,0,1718,4,38,0,2170,0,1386,1
983,0,0,3517,579,344,1,17086,0,3970,1
985,0,0,465,40,46,0,783,0,2822,1
993,0,0,0,496,1136,0,57009,0,3625,1
1012,1,0,199,18,205,0,23,0,1735,1
